City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
159,Mount Isa,AU,-20.7333,139.5,302.02,21,0,4.63,clear sky
160,Saint Anthony,US,45.0205,-93.218,295.33,89,0,2.57,clear sky
161,Beitbridge,ZW,-22.2167,30.0,289.1,58,0,1.34,clear sky
162,Chulym,RU,55.0997,80.9572,288.91,72,99,5.95,light rain
163,Hami,CN,42.8,93.45,310.02,13,7,0.89,clear sky
164,Male,MV,4.1748,73.5089,301.14,75,95,5.66,overcast clouds
165,Kerrville,US,30.0474,-99.1403,301.79,70,0,5.66,clear sky
166,Wilmington,US,34.2257,-77.9447,299.82,90,0,0.0,clear sky
167,Seydi,TM,39.4816,62.9137,310.65,17,1,6.49,clear sky
168,Hambantota,LK,6.1241,81.1185,302.42,66,98,9.19,overcast clouds
169,Karratha,AU,-20.7377,116.8463,298.18,26,0,2.84,clear sky
170,Waverly,US,42.7392,-84.6208,293.9,94,99,3.61,overcast clouds
171,Witu,KE,-2.3889,40.4382,297.71,71,28,6.06,scattered clouds
172,Diamantino,BR,-14.4086,-56.4461,295.14,46,9,2.26,clear sky
173,Ryotsu,JP,38.0833,138.4333,298.32,76,74,2.42,broken clouds
174,Kruisfontein,ZA,-34.0033,24.7314,282.53,81,76,3.86,light rain
175,Chara,RU,56.9064,118.2631,300.62,42,41,3.42,scattered clouds
176,Dali,CN,25.7,100.1833,295.71,72,99,1.2,overcast clouds
177,Coahuayana,MX,18.7333,-103.6833,297.97,88,48,1.12,scattered clouds
178,Chulman,RU,56.8479,124.9104,300.77,37,58,2.7,broken clouds
179,Omboue,GA,-1.5746,9.2618,293.78,90,32,1.64,scattered clouds
180,Sirohi,IN,24.8833,72.8667,299.83,82,96,5.45,overcast clouds
181,Beringovskiy,RU,63.05,179.3167,280.79,75,100,5.49,overcast clouds
182,Flinders,AU,-34.5833,150.8552,293.25,67,6,1.79,clear sky
183,Aksay,RU,47.26,39.87,291.27,59,24,3.47,few clouds
184,Husavik,IS,66.0449,-17.3389,280.43,92,98,0.25,overcast clouds
185,Mpulungu,ZM,-8.7623,31.1141,293.34,60,3,2.94,clear sky
186,Santa Cruz,BO,-17.8,-63.1667,294.85,83,40,3.09,scattered clouds
187,Manzhouli,CN,49.6,117.4333,294.99,64,100,2.1,light rain
188,Mayo,US,38.8876,-76.5119,299.89,76,0,0.0,clear sky
189,Lakes Entrance,AU,-37.8811,147.981,288.8,60,42,2.97,scattered clouds
190,Guangyuan,CN,32.442,105.823,303.15,57,10,2.59,clear sky
191,Half Moon Bay,US,37.4636,-122.4286,285.06,90,63,2.14,broken clouds
192,Tilichiki,RU,60.4667,166.1,286.31,66,93,2.17,overcast clouds
193,Ust-Maya,RU,60.4167,134.5333,301.09,36,6,3.21,clear sky
194,Santa Rosa,PH,14.3122,121.1114,307.14,63,89,1.47,overcast clouds
195,Pontiac,US,42.6389,-83.2911,297.6,78,76,4.52,broken clouds
196,Pevek,RU,69.7008,170.3133,276.44,80,96,3.97,overcast clouds
197,Komyshuvakha,UA,47.7176,35.5288,295.74,59,0,4.74,clear sky
198,Derzhavinsk,KZ,51.1,66.3167,298.26,34,0,4.95,clear sky
199,Kermanshah,IR,34.3142,47.065,297.65,10,0,0.0,clear sky
200,Morehead,US,37.2711,-87.1764,300.29,76,0,2.57,clear sky
201,La Ronge,CA,55.1001,-105.2842,282.0,94,40,1.19,scattered clouds
202,Torrington,US,41.8007,-73.1212,298.14,81,38,1.56,scattered clouds
203,Bambous Virieux,MU,-20.3428,57.7575,296.29,68,40,5.66,scattered clouds
204,Pahrump,US,36.2083,-115.9839,305.18,32,66,0.89,broken clouds
205,Champerico,GT,14.3,-91.9167,298.54,88,76,3.99,broken clouds
206,Fare,PF,-16.7,-151.0167,299.51,74,1,5.32,light rain
207,Vila Franca Do Campo,PT,37.7167,-25.4333,296.59,92,90,2.02,overcast clouds
208,Kununurra,AU,-15.7667,128.7333,304.14,11,0,2.06,clear sky
209,Iranshahr,IR,27.2025,60.6848,306.26,43,84,2.01,broken clouds
210,Shimoda,JP,34.6667,138.95,305.99,68,92,4.63,overcast clouds
211,College,US,64.8569,-147.8028,292.14,48,40,1.54,haze
212,Kuantan,MY,3.8077,103.326,303.93,61,85,3.08,overcast clouds
213,Bengkulu,ID,-3.8004,102.2655,302.06,68,100,1.47,overcast clouds
214,Hofn,IS,64.2539,-15.2082,284.57,83,87,0.51,overcast clouds
215,Kieta,PG,-6.2167,155.6333,302.14,73,18,3.38,light rain
216,Saint-Georges,GD,12.0564,-61.7485,299.24,77,1,4.73,clear sky
217,Kismayo,SO,-0.3582,42.5454,297.94,74,65,8.53,broken clouds
218,Naze,JP,28.3667,129.4833,303.66,72,100,1.53,overcast clouds
