City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
293,Klaksvik,FO,283.46,overcast clouds,62.2266,-6.589,Airbnb rooms
294,Harper,LR,297.02,overcast clouds,4.375,-7.7169,Screensaver
296,Santa Maria Da Vitoria,BR,292.26,clear sky,-13.3947,-44.1886,Pousada Rio Current
297,Greenville,US,299.17,clear sky,35.6127,-77.3663,"Holiday Inn Express Greenville, an IHG Hotel"
298,Grindavik,IS,283.41,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
299,Belmonte,BR,294.54,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
300,Motema,SL,293.78,light rain,8.6,-11.0333,Diamond Lodge
301,Juodupe,LT,288.54,overcast clouds,56.0833,25.6167,
306,Ambilobe,MG,295.88,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
307,Aljezur,PT,294.89,scattered clouds,37.3191,-8.8033,Amazigh Hostel
308,Kirgiz-Miyaki,RU,295.88,broken clouds,53.6324,54.7979,Миякинский Дворик
309,Moerai,PF,295.24,overcast clouds,-22.4333,-151.3333,Le Manotel
310,Aras,ES,288.38,clear sky,42.5617,-2.356,Jardines de Viana Spa
311,Inverell,AU,292.1,clear sky,-29.7833,151.1167,Sapphire City Motor Inn
312,Hakodate,JP,296.32,moderate rain,41.7758,140.7367,Four Points by Sheraton Hakodate
313,Novyy Urgal,RU,299.76,clear sky,51.0736,132.5642,
315,Akhtubinsk,RU,293.22,overcast clouds,48.2795,46.1722,Vzlet
316,Moyobamba,PE,292.08,scattered clouds,-6.05,-76.9667,Hospedaje Mariluna
317,Constitucion,CL,285.01,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
318,Moron,AR,287.26,broken clouds,-34.6534,-58.6198,Hotel Morón
319,Zhaotong,CN,297.68,scattered clouds,27.3167,103.7167,Jingguan Home
320,Kidal,ML,297.31,light rain,18.4411,1.4078,
322,Tutoia,BR,298.29,broken clouds,-2.7619,-42.2744,Pousada Guará's
323,Chuy,UY,287.54,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
324,Soteapan,MX,294.79,overcast clouds,18.2333,-94.8667,Hotel Yalalag
325,Akkermanovka,RU,297.95,broken clouds,51.2467,58.2391,
326,Richards Bay,ZA,289.38,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
327,Latur,IN,297.66,overcast clouds,18.4,76.5833,Hotel Shivneri Durvankur Lodge
328,Port Lincoln,AU,289.49,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
330,Flin Flon,CA,281.69,overcast clouds,54.7682,-101.865,Victoria Inn Flin Flon
331,Alpena,US,296.33,clear sky,45.0617,-83.4327,Days Inn by Wyndham Alpena
332,Fez,MA,297.29,clear sky,34.0372,-4.9998,Hotel Mounia Fès
333,Langxiang,CN,292.94,heavy intensity rain,46.95,128.8833,Pearl Hotel
334,Sioux Lookout,CA,286.57,scattered clouds,50.1001,-91.917,Knobby's Fly-In Camps
335,Trelleborg,SE,288.14,overcast clouds,55.3751,13.1569,Hotell Dannegården
337,Whitehorse,CA,288.16,overcast clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
338,Sungaipenuh,ID,297.45,overcast clouds,-2.0833,101.3833,Penginapan Citra Alam
339,Ulfborg,DK,285.36,broken clouds,56.2673,8.3217,Hedens Bed And Breakfast
340,Spasskoye,RU,291.49,overcast clouds,44.6108,132.7969,Garmonist
342,Luanda,AO,294.15,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
344,Emerald,AU,295.56,clear sky,-23.5333,148.1667,The Irish Village
346,Kaoma,ZM,283.33,clear sky,-14.7833,24.8,KAOMA AIRPORT
347,Kemijarvi,FI,286.52,clear sky,66.7131,27.4306,Hotelli Kemijärvi
348,Haines Junction,CA,286.12,broken clouds,60.7522,-137.5108,Parkside Inn
349,Grenfell,AU,288.96,clear sky,-33.9,148.1667,Grenfell Royal Hotel
350,Shulan,CN,295.36,moderate rain,44.4167,126.95,Shulan Hotel
352,Narsaq,GL,280.63,overcast clouds,60.9167,-46.05,Sleep In Narsaq
355,San Isidro,PE,289.27,overcast clouds,-12.1167,-77.05,Radisson Hotel Decapolis Miraflores
356,Pointe Michel,DM,299.69,clear sky,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
357,Rabak,SD,297.0,light rain,13.1809,32.74,فندق ربك Rabak Hotel
359,Dongobesh,TZ,284.36,scattered clouds,-4.0667,35.3833,
361,Kubrat,BG,299.14,clear sky,43.8,26.5,Maksim Gorki
362,Novo Cruzeiro,BR,285.69,clear sky,-17.4681,-41.8753,Hotel Nossa Senhora das Graças
363,Poum,NC,296.7,broken clouds,-20.2333,164.0167,
365,Mount Gambier,AU,289.98,broken clouds,-37.8333,140.7667,The Commodore
366,Kaeo,NZ,287.22,light rain,-35.1,173.7833,Bushido Lodge
368,Bereda,ES,287.82,few clouds,43.2686,-7.5406,Pazo de Verdes
371,Longjiang,CN,297.55,overcast clouds,47.3303,123.1836,Education Hostel
372,West Bend,US,292.96,overcast clouds,43.4253,-88.1834,AmericInn by Wyndham West Bend
373,Birao,CF,295.53,overcast clouds,10.2849,22.7882,
375,Fortuna,US,287.23,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
376,Isla Vista,US,295.33,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
377,Havre-Saint-Pierre,CA,288.47,broken clouds,50.2334,-63.5986,Auberge Niapiskau
378,Plouzane,FR,289.48,scattered clouds,48.3833,-4.6167,Lymina
385,Campbellton,CA,290.45,scattered clouds,48.0075,-66.6727,Super 8 by Wyndham Campbellton NB
389,Garissa,KE,295.5,broken clouds,-0.4536,39.6401,Sharif Plaza Hotel
390,Antalaha,MG,294.15,light rain,-14.9003,50.2788,Hotel Vitasoa
391,Bocas Del Toro,PA,299.37,overcast clouds,9.3333,-82.25,Hotel Bocas del Toro
393,Vestmannaeyjar,IS,284.71,broken clouds,63.4427,-20.2734,Glamping & Camping
394,Saint-Augustin,CA,288.23,scattered clouds,51.226,-58.6502,
396,Hokitika,NZ,282.69,overcast clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
397,Ano Mera,GR,296.81,clear sky,37.45,25.4,Hotel La Résidence Mykonos
400,Olinda,BR,296.92,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
401,Soyo,AO,293.47,scattered clouds,-6.1349,12.3689,Hospedaria ndozi'ame
402,Requena,ES,291.92,clear sky,39.4883,-1.1004,Hotel Avenida
403,Aviles,ES,291.69,clear sky,43.5547,-5.9248,"Palacio de Avilés, Affiliated by Meliá"
404,Tazovskiy,RU,291.09,broken clouds,67.4667,78.7,TazHostel
405,Ziarat,PK,292.88,overcast clouds,30.3823,67.7282,Pakiza Guest House ziarat
407,Dabola,GN,294.72,heavy intensity rain,10.75,-11.1167,Hotel Tinkisso
408,Kargil,IN,293.05,broken clouds,34.5667,76.1,Hotel Caravan Sarai Kargil
409,Pitimbu,BR,295.48,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
412,Bonavista,CA,289.98,clear sky,48.6499,-53.1147,Sweet Sharons bnb
413,Tautira,PF,299.7,light rain,-17.7333,-149.15,Pension Oaoa
415,Fort Nelson,CA,287.92,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
417,Marawi,PH,298.94,overcast clouds,7.9986,124.2928,Derogongan Residence
418,Dosso,NE,299.13,light rain,13.049,3.1937,Hotel Toubal
419,Bowmore,US,297.3,clear sky,34.9421,-79.3031,
420,Ellisras,ZA,285.81,clear sky,-23.6649,27.7443,Lapa le le guesthouse
421,Monastyrshchina,RU,292.33,broken clouds,54.3496,31.838,
423,Nkan,GA,295.72,overcast clouds,0.3833,9.7833,Hôtel Santa Barbara
424,Fairfield,US,298.58,clear sky,41.2668,-73.3162,
426,Lima,PE,288.65,overcast clouds,-12.0432,-77.0282,Hotel Kamana
427,Geraldton,AU,290.38,clear sky,-28.7667,114.6,Broadwater Mariner Resort
428,Avera,US,298.88,scattered clouds,33.194,-82.5271,
429,Shelburne,CA,294.59,scattered clouds,44.0787,-80.2041,The Retreat at the Farm
430,Koslan,RU,289.5,overcast clouds,63.4564,48.8989,
431,Buzim,BA,293.8,broken clouds,45.0547,16.0319,Hotel Europa
434,Shamary,RU,296.13,scattered clouds,57.3434,58.2199,
435,Broken Hill,AU,293.95,clear sky,-31.95,141.4333,Royal Exchange Hotel
436,Zhigansk,RU,291.02,scattered clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
437,Careiro Da Varzea,BR,299.49,scattered clouds,-3.2003,-59.8119,POUSADA DA ALDENORA
438,South Charleston,US,294.79,mist,38.3684,-81.6996,"Holiday Inn & Suites Charleston West, an IHG Hotel"
440,Taga,RO,296.24,broken clouds,46.95,24.05,
